tsne_1,tsne_2,kmeans_label
75.88096,-0.20407228,3
14.248228,-32.6672,5
-31.702858,40.24324,4
-8.700265,92.528824,4
-18.804266,-33.855553,0
28.649492,-73.60948,5
29.027897,-24.69774,5
9.174977,72.46447,2
-19.551249,-17.799303,4
43.43444,66.41511,3
98.263664,18.907728,4
-19.623209,-87.36017,0
-1.7037449,-35.81117,4
-56.51315,31.692413,6
5.2040873,70.534904,2
-69.35394,-9.052028,6
53.0099,-45.079563,5
-24.438591,-61.784477,0
1.8686994,-15.365462,4
-39.646843,60.175488,1
32.718624,-49.94713,5
64.05703,54.643944,3
-76.53449,-7.094025,6
15.182114,-39.79179,5
12.8157835,72.2718,2
-56.553722,12.75293,5
42.682545,5.2894244,4
15.191249,46.008724,4
-57.669903,14.487116,5
-1.6034023,27.268532,4
-44.900925,-76.8836,0
23.083416,35.249474,4
54.508537,-42.86511,5
26.233671,1.4996772,4
26.70234,-77.02417,5
-44.434784,16.988401,5
32.102005,-45.30752,5
-19.783249,76.70982,1
17.696543,19.798006,4
14.661124,68.58272,2
21.79816,20.49514,4
30.739529,-35.29119,5
53.97117,-35.80716,5
-54.93593,63.43743,1
-14.558447,-92.938225,0
-88.29534,25.431303,1
-10.06913,-47.681774,0
-19.138977,-15.590018,4
-61.404877,-45.410397,5
-8.589721,-16.929264,4
75.65397,32.6314,2
12.008181,84.96704,2
-52.864094,9.07431,5
13.082433,6.957734,4
-4.5993223,42.540703,4
77.52457,31.989912,2
21.61822,-86.08071,5
-41.333378,-31.900257,5
19.628708,83.14177,2
-31.45028,87.95042,1
75.48887,6.235122,3
-23.276344,72.08468,1
-54.69195,-55.17386,5
14.107736,-10.532194,4
-12.321585,7.170166,4
-69.508255,44.407024,6
12.120442,36.508724,4
31.257992,-48.074074,5
-50.00921,7.61875,5
72.550186,-1.4984754,3
24.38188,6.757091,4
4.9091964,-63.512714,5
-29.983719,2.9742663,4
12.193616,36.447132,4
24.727547,40.197685,4
7.1333833,-15.6321335,4
47.66847,-31.771692,5
-59.532,-24.800093,4
-69.177124,-39.455246,5
55.82004,-37.989685,5
-21.425003,72.094246,1
