umap_1,umap_2,kmeans_label
-5.8942933,-11.534219,0
19.706316,-0.5464186,4
-1.0164088,2.4508293,1
4.8611083,-2.1832597,5
-12.565625,13.981286,3
-5.334449,-2.518437,6
6.3425083,-2.058423,5
1.94227,9.585059,2
-4.953249,5.1270037,5
8.303267,5.947222,4
16.812849,10.084051,4
-4.893702,4.9970064,5
1.2297311,29.203865,4
-0.93042403,-11.714533,0
17.498606,10.572332,4
3.124022,-1.4389687,5
6.9951506,5.2781715,4
18.942963,-5.5375924,5
-4.0051374,6.0052443,5
4.452484,-2.058721,5
-2.1225512,7.7880588,1
5.87181,6.5677285,4
2.1066191,9.320434,2
6.1197176,7.0069146,4
5.344016,-0.9663198,5
2.9751263,-1.0954565,5
17.73307,6.189992,1
-5.7238317,-7.421764,0
11.071446,-4.1462226,1
-12.353926,-2.4350188,0
-8.181154,12.661459,4
0.03717852,20.331644,5
15.195753,22.401846,4
-12.220175,1.8326492,2
1.1716492,10.641697,2
-4.977512,5.665492,5
5.9416766,5.1311336,4
-0.8347585,14.076535,4
-12.235346,1.83789,2
17.721207,-5.4275293,5
-8.974108,8.20176,5
1.9040178,10.807022,2
-10.6531515,21.217476,1
13.507743,15.608743,3
-1.4669923,5.208064,1
0.84466773,19.546286,5
20.869354,1.1451294,4
17.975119,18.736593,4
-3.4230757,-2.0935688,6
17.681084,10.240712,4
4.6173224,-2.2465103,5
-4.851036,5.903018,5
13.609602,16.539684,3
6.668161,5.6517725,4
3.688049,24.847242,5
11.359135,1.8258009,4
17.708755,10.293412,4
16.995493,11.218046,4
19.880857,-0.26796252,4
3.745033,-0.65034044,5
2.6653154,16.574926,4
-1.1317147,20.848158,5
2.8274248,-1.4484172,5
-1.8660377,7.176333,1
14.550073,4.759994,5
17.408335,-5.9351096,5
13.884978,-0.57393956,4
13.717603,4.829694,5
6.0805826,6.825243,4
-4.2466645,6.3213267,5
6.087263,17.68531,4
16.473324,10.261824,4
11.03923,-3.9950154,1
-0.98835164,20.718327,5
-5.6009097,-2.502799,6
2.1097033,9.335323,2
6.9444222,5.100019,4
-3.836993,6.210212,5
13.344033,17.060251,3
17.795935,6.2306895,1
5.8947687,23.761335,4
10.635373,-8.224334,3
-6.051966,-1.8639361,6
6.971559,17.475065,4
-0.036541283,13.928484,4
3.5404103,-0.6735566,5
5.3891234,0.14904833,5
-10.68862,21.253107,1
6.5725,6.747631,4
7.2665563,18.009693,4
11.334494,-4.1269217,1
6.499871,-0.90006423,5
-12.517152,14.02866,3
11.436504,21.53766,2
7.924715,6.4062614,4
21.84361,6.075851,4
17.398201,10.175038,4
5.172935,-1.2305461,5
6.197548,6.4116845,4
-4.8925757,5.0073643,5
-6.805629,12.954109,2
1.1735914,9.816389,2
-8.774019,8.690609,5
-12.710811,1.6986359,2
6.9673915,6.1582828,4
11.386807,-4.0289154,1
-7.014146,12.811002,2
-8.846445,7.9888864,5
3.7320256,-0.7393929,5
11.068727,-2.7444432,1
6.2234025,5.3569117,4
2.2815003,-10.165705,0
0.5501529,19.525866,5
-12.207409,1.8370044,2
13.12692,16.32837,3
7.6732693,6.3492584,4
-12.395648,14.151247,3
14.086855,-0.7466053,4
6.0411057,23.915257,4
6.6054144,24.252787,4
-8.066545,12.6925125,4
-6.57474,-7.7102065,0
7.8426957,7.300286,4
7.746641,6.221007,4
6.3742576,5.8561,4
0.62267697,10.69875,2
5.770907,5.5308056,4
14.246883,15.641399,3
-2.937959,-2.4657073,6
6.8904476,24.250566,4
4.0107484,25.10918,5
0.009503476,20.336016,5
4.7074046,-2.2191331,5
-1.626928,2.745134,1
-0.75190043,2.602534,1
6.0027285,-0.16514173,5
-5.83636,-11.448705,0
11.123641,-4.2789183,1
2.1251729,10.281773,2
6.198996,-1.7122843,5
5.702091,-1.8592637,5
6.886119,24.174662,4
4.358461,25.24982,5
-10.184924,2.897265,4
-4.603647,-2.3488204,6
-6.8079143,12.934408,2
16.856325,10.185813,4
10.986341,-4.0938025,1
-9.427493,8.348108,5
6.9029274,7.741091,4
2.6459038,16.560423,4
-6.06727,-11.885308,0
14.483298,-1.1406928,4
-10.686982,2.7228022,4
7.2914066,4.4439206,4
-7.084253,12.805355,2
6.700981,4.997542,4
13.899525,16.612188,3
-7.7526093,18.114086,4
4.1316347,24.562178,5
3.7585552,-2.4075558,5
4.311787,-1.8808842,5
10.783325,-3.931094,1
16.576628,10.806861,4
10.354242,-8.247019,3
-0.128057,14.329588,4
2.1457407,9.640665,2
3.6593242,0.15973991,5
2.3080437,9.391412,2
17.818266,6.252319,1
10.185281,-8.335767,3
-5.8023653,-7.3374076,0
-5.8076177,-7.915662,0
-12.720368,1.7515937,2
-4.6375985,-0.497118,6
1.1747442,9.502247,2
1.150429,9.553899,2
