delivery_time,customer_zip_code_prefix,order_month,order_year,customer_state
25.0,13603,11,2017,SP
27.0,89818,3,2018,RJ
13.0,89970,5,2017,MG
4.0,13275,3,2018,SP
7.0,6419,8,2018,RS
13.0,17220,8,2017,SP
19.0,3140,4,2017,RJ
7.0,35160,4,2017,MG
14.0,26263,10,2017,MG
37.0,64212,3,2018,MG
9.0,35675,12,2017,MT
5.0,48705,5,2018,SP
1.0,8130,7,2017,PR
12.0,35530,9,2017,RJ
6.0,58150,4,2018,SP
13.0,29400,11,2017,DF
11.0,6020,5,2018,GO
10.0,14412,9,2017,BA
13.0,9635,5,2018,MT
5.0,6423,6,2018,MG
3.0,36090,3,2018,SP
12.0,71250,8,2017,GO
18.0,76630,6,2018,SC
21.0,68560,2,2018,MG
6.0,64870,6,2017,SP
18.0,15102,5,2018,ES
15.0,3543,9,2017,PR
8.0,64800,1,2018,SP
6.0,29053,7,2017,SP
8.0,37690,7,2017,RS
6.0,1314,9,2017,SP
16.0,84345,9,2017,PE
3.0,39645,4,2018,SP
5.0,13563,9,2017,SP
8.0,48925,5,2018,PR
9.0,78420,9,2017,SP
14.0,42835,4,2018,SP
14.0,39635,3,2018,BA
13.0,6010,12,2017,MG
10.0,85835,12,2017,MG
15.0,36953,12,2017,SP
24.0,25840,1,2018,SC
15.0,85825,6,2017,PR
8.0,85812,4,2018,SP
6.0,28922,6,2018,PR
16.0,35685,6,2017,MT
7.0,76890,8,2017,SP
36.0,75110,8,2017,RS
16.0,52120,12,2017,MS
18.0,7243,5,2018,SC
22.0,75106,2,2018,RJ
1.0,9260,8,2017,SP
27.0,3112,3,2018,RJ
3.0,64062,3,2018,SP
9.0,38570,10,2017,SP
7.0,58305,10,2017,SP
7.0,7902,6,2018,RJ
8.0,27257,6,2017,SP
11.0,15035,12,2017,MG
26.0,6045,11,2017,ES
13.0,83370,5,2018,SP
13.0,60191,5,2017,RN
9.0,48895,1,2018,MG
21.0,72853,5,2018,PR
5.0,3337,7,2018,SP
10.0,15630,1,2018,SP
17.0,39850,12,2017,DF
9.0,4180,5,2018,SP
17.0,3896,12,2017,RS
7.0,55020,3,2017,PR
11.0,31960,12,2017,SP
11.0,70756,4,2018,RJ
8.0,8571,5,2017,MG
4.0,16402,1,2018,SP
11.0,12760,10,2017,PB
24.0,85070,2,2018,SC
18.0,88134,12,2017,PE
7.0,3574,8,2018,PR
14.0,36950,9,2017,RS
14.0,9627,4,2018,SP
22.0,54080,5,2018,PA
6.0,96925,5,2018,SP
9.0,32611,8,2018,SP
7.0,4401,3,2017,SP
24.0,72814,3,2018,SP
7.0,21535,11,2017,RJ
10.0,82100,6,2017,RJ
6.0,28070,6,2018,RS
2.0,64045,6,2018,SP
12.0,13147,11,2017,RJ
6.0,77318,5,2018,RJ
12.0,46875,6,2018,SP
11.0,79806,1,2018,MG
7.0,74345,12,2017,SP
14.0,93225,10,2017,AL
9.0,20911,8,2018,ES
10.0,37031,8,2018,SP
8.0,22251,11,2017,SP
29.0,55700,3,2018,BA
4.0,25214,4,2018,SP
6.0,6844,6,2018,SP
11.0,31930,7,2018,SP
14.0,93285,6,2018,RN
24.0,3573,8,2017,RJ
10.0,13252,3,2018,DF
27.0,17603,4,2018,BA
4.0,13843,4,2018,SP
12.0,76386,6,2018,RS
20.0,57304,2,2018,PE
8.0,14702,12,2017,PR
10.0,61620,2,2018,SP
11.0,9792,11,2017,MG
5.0,54460,6,2017,SP
7.0,9603,7,2018,MG
15.0,31575,3,2017,PA
14.0,39480,1,2018,SP
26.0,7231,8,2017,SP
2.0,45005,8,2018,SP
2.0,29162,6,2018,RJ
19.0,64003,7,2018,PB
6.0,35050,7,2018,SP
3.0,3428,11,2017,SP
8.0,12703,9,2017,SP
9.0,6142,4,2018,SP
4.0,72410,2,2018,SP
6.0,34018,4,2018,SP
8.0,82015,5,2017,RJ
12.0,2935,9,2017,PA
12.0,6844,3,2017,SP
17.0,23028,6,2018,RJ
6.0,49080,8,2018,SP
9.0,5547,10,2017,MG
21.0,4308,3,2018,RJ
8.0,59012,12,2017,SP
39.0,16010,11,2017,PE
10.0,58036,6,2018,MG
10.0,78365,10,2017,SC
13.0,95350,12,2017,SP
8.0,87323,1,2017,PE
7.0,17890,7,2018,SP
14.0,75065,5,2018,SP
15.0,88164,5,2017,MG
15.0,2261,3,2018,PR
5.0,25275,8,2018,SP
31.0,59324,11,2017,SP
8.0,2051,1,2017,MG
6.0,70238,10,2017,SP
15.0,87528,5,2018,MT
20.0,37760,10,2017,MS
18.0,75080,12,2017,DF
6.0,11531,1,2018,MG
19.0,9847,9,2017,BA
6.0,76195,2,2018,SP
8.0,81200,11,2017,PR
7.0,3707,8,2018,SP
3.0,78810,11,2017,SP
3.0,39472,8,2018,SP
6.0,12924,5,2018,SP
9.0,1526,7,2018,PR
8.0,1250,11,2017,SP
20.0,42805,5,2017,SP
22.0,58701,7,2017,SP
5.0,5006,6,2018,SC
4.0,1233,8,2017,SP
6.0,78335,5,2018,MG
7.0,74053,7,2017,SP
21.0,14735,4,2017,RS
10.0,85063,12,2017,SP
6.0,49010,2,2018,SP
1.0,15870,7,2018,RS
5.0,3873,5,2018,SP
47.0,75165,7,2017,PE
7.0,95995,3,2018,SP
8.0,37990,12,2017,SP
3.0,4841,10,2017,SP
18.0,26980,3,2018,RJ
11.0,9571,6,2018,RS
17.0,76980,8,2018,SE
7.0,58431,7,2018,SP
9.0,95310,7,2017,SP
9.0,28899,7,2018,SC
5.0,5108,7,2018,SP
14.0,14660,6,2017,MT
16.0,4173,2,2017,GO
11.0,4910,8,2018,PR
43.0,65047,3,2018,RJ
8.0,99020,4,2018,RS
7.0,75220,7,2017,RJ
8.0,37245,7,2018,SC
7.0,14740,2,2017,RJ
18.0,30662,12,2017,SP
11.0,74885,12,2017,RS
2.0,39890,6,2018,SP
7.0,86077,6,2018,SP
43.0,58280,4,2018,RN
13.0,24416,2,2018,SP
22.0,55592,3,2017,BA
12.0,28930,10,2017,RJ
6.0,91350,10,2017,MG
12.0,13289,2,2018,SP
12.0,31565,8,2017,ES
20.0,60742,11,2017,MG
5.0,29308,7,2018,SP
5.0,88137,7,2018,DF
13.0,26310,11,2017,MG
13.0,18270,7,2017,RJ
13.0,4846,1,2018,BA
20.0,59855,5,2018,MT
8.0,38415,12,2017,RJ
5.0,96020,7,2017,SP
6.0,55410,2,2018,SP
28.0,47520,8,2018,SP
5.0,90830,3,2018,MG
6.0,62030,5,2017,MG
23.0,18900,8,2017,RJ
7.0,68377,11,2017,SP
7.0,88130,2,2017,SP
7.0,14784,2,2017,MG
8.0,88763,8,2018,PR
13.0,6810,3,2018,SP
5.0,4910,5,2018,PR
17.0,92110,2,2018,PR
8.0,70383,1,2018,SP
9.0,98760,9,2017,SP
9.0,16940,5,2017,SP
21.0,29330,4,2018,RS
38.0,51345,2,2018,MG
1.0,23935,6,2017,SP
15.0,87528,5,2018,MT
13.0,29166,6,2018,PE
10.0,3068,12,2017,SP
5.0,70344,10,2017,RS
5.0,86160,10,2017,SP
4.0,4782,7,2018,MG
25.0,6705,4,2017,BA
10.0,83607,8,2017,PE
6.0,87305,6,2018,SC
8.0,2717,1,2018,MG
6.0,24358,6,2018,SP
12.0,72546,1,2018,PE
2.0,3674,5,2018,SP
11.0,68665,7,2017,PE
41.0,73340,12,2017,RJ
10.0,3085,1,2017,RJ
24.0,64764,3,2018,ES
7.0,53330,4,2018,SP
40.0,58213,3,2018,BA
10.0,54759,12,2017,SP
23.0,57607,2,2017,PI
5.0,99835,12,2017,SP
9.0,40157,12,2017,SP
11.0,66635,3,2017,SP
3.0,2188,9,2017,SP
4.0,3952,12,2017,SP
41.0,2874,3,2018,ES
11.0,9894,3,2018,RJ
7.0,4642,4,2017,PR
11.0,36550,6,2018,SP
6.0,17502,2,2018,SP
8.0,5402,8,2018,RS
12.0,70743,6,2018,SP
36.0,1534,3,2018,MG
8.0,8696,11,2017,SP
20.0,5861,11,2017,MT
13.0,1326,12,2017,BA
9.0,2636,9,2017,SP
3.0,50050,5,2018,SP
17.0,50741,5,2018,MG
10.0,76300,7,2017,RJ
12.0,42800,3,2017,SP
10.0,31370,10,2017,MG
5.0,24421,6,2018,SP
3.0,39780,8,2018,MG
36.0,39864,7,2017,AL
7.0,32684,8,2018,SP
7.0,86036,8,2018,SP
11.0,7260,8,2018,SP
7.0,39270,10,2017,SP
8.0,90650,2,2018,SP
14.0,88309,5,2018,SP
16.0,71670,12,2017,SC
27.0,64062,3,2018,SP
3.0,19230,4,2018,SP
19.0,93602,5,2017,RJ
5.0,93351,4,2018,SP
13.0,15706,6,2018,BA
21.0,11370,1,2018,MT
9.0,14960,3,2018,SP
6.0,3986,5,2018,SP
6.0,45023,11,2017,MG
9.0,95730,6,2017,SC
3.0,35969,10,2017,PR
11.0,57038,1,2018,SP
4.0,22050,7,2018,SP
30.0,72304,3,2018,SP
15.0,37407,11,2017,SP
8.0,51350,10,2017,RJ
11.0,74140,3,2018,SP
11.0,8674,6,2017,MG
17.0,33937,10,2017,PE
4.0,1501,7,2018,SP
7.0,36090,1,2018,SP
6.0,3479,1,2018,SP
1.0,36048,4,2018,SP
7.0,89970,3,2018,MG
13.0,29010,6,2018,SP
13.0,1414,8,2018,SP
12.0,87580,6,2018,RJ
21.0,49400,11,2017,MA
3.0,29165,3,2018,SP
11.0,62190,11,2017,RJ
16.0,96083,3,2018,RS
11.0,6654,5,2017,BA
14.0,25940,8,2017,RJ
6.0,71693,4,2018,SP
6.0,4607,7,2017,MG
3.0,75528,4,2018,SP
13.0,18185,12,2017,CE
7.0,58125,7,2017,SP
17.0,84300,2,2018,RJ
2.0,1547,6,2018,SP
8.0,4643,4,2018,DF
16.0,89245,1,2018,MG
9.0,1311,5,2017,SP
2.0,23895,6,2017,SP
8.0,47806,7,2018,SP
10.0,65550,1,2018,SP
18.0,1454,6,2017,ES
6.0,15810,6,2018,SP
28.0,74680,2,2018,PE
9.0,26196,4,2017,MG
13.0,28450,5,2018,SP
9.0,6705,7,2018,BA
7.0,70253,10,2017,RJ
14.0,13206,7,2018,AC
37.0,70790,5,2018,RJ
17.0,14150,11,2017,BA
7.0,72830,7,2017,SP
8.0,31140,3,2018,RJ
35.0,24465,2,2018,CE
5.0,7951,10,2017,SP
2.0,89259,6,2018,SP
18.0,13920,11,2017,PR
8.0,9951,11,2017,SP
13.0,23520,6,2018,CE
3.0,4356,9,2017,SP
5.0,6410,7,2018,SP
3.0,95012,1,2018,SP
7.0,4942,6,2017,RJ
26.0,7776,6,2017,RO
13.0,4106,1,2018,PB
8.0,98430,5,2017,MS
22.0,65907,5,2018,RS
14.0,5101,5,2017,MG
18.0,3052,6,2017,RJ
15.0,68745,12,2017,SP
16.0,44790,1,2018,MG
10.0,72242,4,2018,SP
30.0,88805,9,2017,AM
33.0,68658,3,2018,RS
5.0,99835,9,2017,SP
14.0,89160,4,2017,SP
7.0,86803,5,2018,MG
8.0,45360,8,2018,SC
13.0,79823,10,2017,RJ
4.0,29222,10,2017,SP
4.0,28140,6,2018,SP
7.0,24467,7,2018,SP
10.0,47310,12,2017,RJ
33.0,58740,3,2018,RS
13.0,95935,8,2018,SP
10.0,32210,1,2018,SP
6.0,3918,8,2018,MG
18.0,95720,11,2017,RS
8.0,87302,4,2018,MG
14.0,38406,2,2018,MG
10.0,72745,4,2017,SP
27.0,15102,1,2018,ES
7.0,15035,8,2018,MG
35.0,37552,3,2018,PI
8.0,33082,4,2017,RJ
13.0,1508,12,2017,SP
6.0,13855,5,2018,SP
6.0,78310,7,2018,RJ
13.0,36350,1,2018,GO
10.0,64930,9,2017,SP
8.0,35114,7,2018,SP
11.0,9635,1,2017,MT
13.0,81310,1,2018,SP
15.0,76260,7,2017,SP
9.0,88338,6,2017,SP
13.0,59084,12,2017,PR
8.0,13602,5,2017,PE
13.0,55016,11,2017,MG
14.0,64063,1,2018,PE
27.0,4760,6,2017,PA
17.0,5707,3,2018,MG
23.0,2079,3,2018,GO
7.0,19970,3,2018,SC
9.0,31980,12,2017,SP
8.0,21555,2,2017,SP
3.0,23036,1,2018,MS
8.0,35565,6,2017,SP
23.0,94950,1,2018,PI
18.0,60532,4,2017,SP
7.0,17506,5,2018,SP
14.0,7911,3,2018,SP
16.0,3675,1,2018,RS
12.0,15025,5,2017,PR
1.0,65365,8,2018,SP
6.0,4768,3,2017,SP
7.0,52091,8,2018,MG
6.0,13087,9,2017,SP
17.0,1202,9,2017,MT
10.0,5367,2,2018,SP
6.0,36090,5,2018,SP
4.0,85200,8,2018,SP
17.0,53439,3,2018,PR
28.0,79903,11,2017,SP
36.0,32400,12,2017,RJ
14.0,65398,4,2018,RJ
15.0,27336,1,2018,PA
4.0,45790,5,2017,MG
2.0,29308,12,2017,SP
15.0,2185,10,2017,SP
17.0,4216,4,2018,PE
8.0,48840,1,2017,RJ
3.0,57720,7,2018,SP
7.0,8640,6,2017,MG
23.0,8111,8,2018,BA
42.0,91770,2,2018,RJ
8.0,28640,5,2018,MG
7.0,60834,5,2018,SP
7.0,34008,6,2018,SP
25.0,45534,11,2017,SC
6.0,79640,11,2017,SP
7.0,59052,8,2018,SP
6.0,91340,6,2018,SP
7.0,14871,5,2017,SP
6.0,15650,1,2017,SP
35.0,12917,3,2018,PE
26.0,3085,6,2017,RJ
8.0,37855,6,2017,SP
9.0,24472,2,2018,SP
24.0,66810,2,2018,RS
7.0,90150,8,2018,SC
7.0,21825,2,2018,SP
12.0,4081,7,2017,SP
13.0,7991,7,2018,RJ
5.0,89694,11,2017,DF
18.0,36145,5,2018,GO
15.0,1534,8,2017,MG
4.0,45600,4,2018,PR
3.0,79904,4,2018,SP
17.0,5894,1,2018,PR
18.0,21310,5,2018,RS
17.0,76970,4,2018,PR
8.0,22080,4,2017,RS
