customer_zip_code_prefix,delivery_delay,delivery_time,order_year,order_month,customer_state_MG,customer_state_RJ,customer_state_RS,customer_state_SP,order_year_month_2017-11,order_year_month_2017-12,order_year_month_2018-01,order_year_month_2018-02,order_year_month_2018-03,order_year_month_2018-04,order_year_month_2018-05,order_year_month_2018-06,order_year_month_2018-07,order_year_month_2018-08
-0.86264306,-0.7900211,1.6412852,-1.0545354,-0.6271517,-0.36171806,-0.3859225,-0.24147286,-0.8581465,-0.28798127,-0.24302691,-0.27929485,-0.27000654,-0.28034166,-0.27312002,-0.27224326,-0.25641194,-0.2544223,-0.257526
-1.1209283,1.2229742,-0.31878105,0.92393124,-0.93642354,-0.36171806,-0.3859225,-0.24147286,1.1653022,-0.28798127,-0.24302691,-0.27929485,-0.27000654,3.567076,-0.27312002,-0.27224326,-0.25641194,-0.2544223,-0.257526
-0.884442,-0.1861225,-0.97213656,0.92393124,-0.31787997,-0.36171806,-0.3859225,-0.24147286,1.1653022,-0.28798127,-0.24302691,-0.27929485,-0.27000654,-0.28034166,-0.27312002,3.6731856,-0.25641194,-0.2544223,-0.257526
1.6291653,1.2229742,2.5124257,0.92393124,-0.6271517,-0.36171806,-0.3859225,-0.24147286,-0.8581465,-0.28798127,-0.24302691,-0.27929485,-0.27000654,-0.28034166,3.6613941,-0.27224326,-0.25641194,-0.2544223,-0.257526
-1.0799911,0.21647654,0.007896651,-1.0545354,1.5377507,-0.36171806,-0.3859225,-0.24147286,1.1653022,3.4724479,-0.24302691,-0.27929485,-0.27000654,-0.28034166,-0.27312002,-0.27224326,-0.25641194,-0.2544223,-0.257526
0.17440829,0.6190756,0.77014464,0.92393124,-0.93642354,-0.36171806,-0.3859225,-0.24147286,-0.8581465,-0.28798127,-0.24302691,-0.27929485,-0.27000654,3.567076,-0.27312002,-0.27224326,-0.25641194,-0.2544223,-0.257526
1.6613187,0.5184258,-0.7543513,0.92393124,0.3006636,-0.36171806,-0.3859225,-0.24147286,1.1653022,-0.28798127,-0.24302691,-0.27929485,-0.27000654,-0.28034166,-0.27312002,-0.27224326,-0.25641194,3.930473,-0.257526
-0.26237148,-0.1861225,-0.97213656,0.92393124,0.3006636,-0.36171806,-0.3859225,4.141252,-0.8581465,-0.28798127,-0.24302691,-0.27929485,-0.27000654,-0.28034166,-0.27312002,-0.27224326,-0.25641194,3.930473,-0.257526
-0.37152633,-0.08547274,-0.5365662,-1.0545354,1.8470224,-0.36171806,-0.3859225,-0.24147286,1.1653022,-0.28798127,4.114771,-0.27929485,-0.27000654,-0.28034166,-0.27312002,-0.27224326,-0.25641194,-0.2544223,-0.257526
0.8146553,-1.3939197,-0.97213656,0.92393124,0.6099354,-0.36171806,-0.3859225,-0.24147286,1.1653022,-0.28798127,-0.24302691,-0.27929485,-0.27000654,-0.28034166,-0.27312002,-0.27224326,-0.25641194,-0.2544223,3.883103
-0.7868918,-7.1309566,-0.10099592,0.92393124,-1.5549672,-0.36171806,-0.3859225,-0.24147286,1.1653022,-0.28798127,-0.24302691,3.5804453,-0.27000654,-0.28034166,-0.27312002,-0.27224326,-0.25641194,-0.2544223,-0.257526
1.1642393,-0.1861225,0.33457437,0.92393124,-0.6271517,-0.36171806,-0.3859225,-0.24147286,-0.8581465,-0.28798127,-0.24302691,-0.27929485,-0.27000654,-0.28034166,3.6613941,-0.27224326,-0.25641194,-0.2544223,-0.257526
-0.11676753,-1.4945694,0.77014464,0.92393124,-0.31787997,-0.36171806,-0.3859225,-0.24147286,-0.8581465,-0.28798127,-0.24302691,-0.27929485,-0.27000654,-0.28034166,-0.27312002,3.6731856,-0.25641194,-0.2544223,-0.257526
-0.4333968,-1.4945694,0.007896651,0.92393124,-0.93642354,-0.36171806,2.591194,-0.24147286,-0.8581465,-0.28798127,-0.24302691,-0.27929485,-0.27000654,3.567076,-0.27312002,-0.27224326,-0.25641194,-0.2544223,-0.257526
-1.2296022,0.21647654,-0.64545876,0.92393124,0.3006636,-0.36171806,-0.3859225,-0.24147286,1.1653022,-0.28798127,-0.24302691,-0.27929485,-0.27000654,-0.28034166,-0.27312002,-0.27224326,-0.25641194,3.930473,-0.257526
0.9992408,-0.08547274,0.2256818,-1.0545354,0.6099354,-0.36171806,-0.3859225,-0.24147286,-0.8581465,-0.28798127,-0.24302691,-0.27929485,-0.27000654,-0.28034166,-0.27312002,-0.27224326,-0.25641194,-0.2544223,-0.257526
-1.0449204,-0.7900211,-0.86324394,0.92393124,-0.008608196,-0.36171806,-0.3859225,-0.24147286,1.1653022,-0.28798127,-0.24302691,-0.27929485,-0.27000654,-0.28034166,-0.27312002,-0.27224326,3.8999746,-0.2544223,-0.257526
1.6352241,0.41777605,-0.2098885,0.92393124,-0.93642354,-0.36171806,-0.3859225,-0.24147286,1.1653022,-0.28798127,-0.24302691,-0.27929485,-0.27000654,3.567076,-0.27312002,-0.27224326,-0.25641194,-0.2544223,-0.257526
-1.2288328,-0.89067084,0.007896651,0.92393124,-0.31787997,-0.36171806,-0.3859225,-0.24147286,1.1653022,-0.28798127,-0.24302691,-0.27929485,-0.27000654,-0.28034166,-0.27312002,3.6731856,-0.25641194,-0.2544223,-0.257526
-0.9790108,0.115826786,-0.2098885,0.92393124,-0.93642354,-0.36171806,-0.3859225,-0.24147286,-0.8581465,-0.28798127,-0.24302691,-0.27929485,-0.27000654,3.567076,-0.27312002,-0.27224326,-0.25641194,-0.2544223,-0.257526
-0.8744722,0.41777605,0.6612521,0.92393124,-1.2456954,2.7645843,-0.3859225,-0.24147286,-0.8581465,-0.28798127,-0.24302691,-0.27929485,3.703614,-0.28034166,-0.27312002,-0.27224326,-0.25641194,-0.2544223,-0.257526
-0.23977113,-2.8030162,-0.10099592,0.92393124,-0.008608196,-0.36171806,-0.3859225,-0.24147286,-0.8581465,-0.28798127,-0.24302691,-0.27929485,-0.27000654,-0.28034166,-0.27312002,-0.27224326,3.8999746,-0.2544223,-0.257526
1.3728677,-0.4880718,-0.7543513,0.92393124,-0.008608196,-0.36171806,-0.3859225,-0.24147286,1.1653022,-0.28798127,-0.24302691,-0.27929485,-0.27000654,-0.28034166,-0.27312002,-0.27224326,3.8999746,-0.2544223,-0.257526
1.550561,2.0281723,1.8590703,-1.0545354,-0.93642354,-0.36171806,-0.3859225,-0.24147286,1.1653022,-0.28798127,-0.24302691,-0.27929485,-0.27000654,-0.28034166,-0.27312002,-0.27224326,-0.25641194,-0.2544223,-0.257526
